coeff,lma,n,p,sla
Intercept,156816.2439159382,0.3096387755477122,130493.37105921435,18.80001951084395
400,25875.92581383248,-0.010138404444014395,6271.1717119400655,0.030903819970805563
410,32561.61043692681,-0.010953456881081751,9414.008673228813,-0.06953656951650838
420,34602.824058300175,-0.009870083211124496,11313.222434644475,-0.16117771296299774
430,36673.54998971166,-0.00904134304854896,13101.15760504022,-0.2390851246887692
440,38003.66892617913,-0.008009533425760725,14322.038422756137,-0.31841965152542595
450,37798.56402331604,-0.006428304214982696,14461.252701598936,-0.4126745376268498
460,36964.59547795903,-0.005212537254687475,14126.395784780567,-0.48139599948736783
470,36726.96410429057,-0.004502856931426727,14125.75423091158,-0.5236565502578453
480,35902.78315245973,-0.004117523731631874,13317.85214515981,-0.5529337030442418
490,30810.752371095132,-0.00424837337721123,8392.134578014828,-0.5345378751271508
500,16605.859063331693,-0.0076313434419224896,-7291.1912153427875,-0.348220473274715
510,-9945.990124088268,-0.01652189746755946,-38764.44141608103,0.11699936448186378
520,-37511.65877265842,-0.025986482936863342,-71550.67479232392,0.6053484567272519
530,-41955.97175521244,-0.025097689160473082,-73491.08113897838,0.5704411467891476
540,-33584.96446269706,-0.01728116061514109,-58071.50012679975,0.19903035454493492
550,-27980.968428250722,-0.010151910305067945,-46498.788827445904,-0.14293956418823933
560,-21452.646831300517,-0.0036054400786407425,-35218.717542937906,-0.4717036487313074
570,-10896.461488325725,0.004265504648696663,-19515.059010081877,-0.88223487736322
580,-3231.0033811925664,0.010349075245741825,-7434.563261256416,-1.2093687321704634
590,360.16081039098754,0.014480471263315,-539.1385911215484,-1.4499920252395782
600,2831.082491833767,0.01735355370850242,4678.1022468119045,-1.628357519472022
610,8033.643893618186,0.018391725529551876,11289.218342990902,-1.7185693268956275
620,12101.864238976797,0.01848846159323543,16246.147530333912,-1.7495494683708455
630,14440.440422448743,0.018450712775467195,19430.657783773226,-1.75830046104212
640,21473.284741621195,0.015499557392373306,25106.671176439057,-1.618202658933721
650,27823.986221088595,0.011790932366299106,29467.89737163356,-1.4238936426302338
660,33783.0221536797,0.005941849197394808,32103.153522853747,-1.099372717594655
670,36911.839683129045,0.001523036040628755,32685.990094439927,-0.8392479233986913
680,33449.85763028912,0.007864636663331596,34157.71120514117,-1.1780030981028196
690,5274.696321209467,0.029044762544066117,20379.696961919602,-2.2745313969107754
700,-35030.27320185136,0.046358629502871,-10047.638467696794,-3.0780646379764267
710,-56189.387901571165,0.0471791738629259,-31426.271537377266,-3.065443557793344
720,-61370.10450846046,0.032965477412890604,-45045.581173352344,-2.2651759176953097
730,-57924.91756359814,0.011517964292075106,-54901.3963347604,-0.9397705013346319
740,-54252.560741857655,-0.004626304246651686,-63379.47506475784,0.19607198398936312
